chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL74656;Rattus norvegicus;COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC;142.0
CHEMBL74141;Rattus norvegicus;COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6ccc(F)c7ccccc67)CC5)CC4)OCCO3)cc2)cc1;603.0
CHEMBL73138;Rattus norvegicus;CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1N;179300.0
CHEMBL7301;Rattus norvegicus;CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1;1660.0
CHEMBL729;Rattus norvegicus;Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O;9280.0
CHEMBL7265;Rattus norvegicus;Cc1c(N2C[C@@H](F)[C@@H](C3(N)CC3)C2)c(F)c(N)c2c(=O)c(C(=O)O)cn([C@@H]3C[C@@H]3F)c12;37900.0
CHEMBL71792;Rattus norvegicus;COCCCNc1nccc(-c2[nH]c([C@H]3OC[C@@](C)(C(=O)NCCOC)CO3)nc2-c2ccc(F)cc2)n1;138.0
CHEMBL71588;Rattus norvegicus;O=C(O)CCC[C@H](O)[C@H](O)/C=C/C=C/C=C/C=C/[C@H](O)COc1ccc(F)cc1;1800.0
CHEMBL71572;Rattus norvegicus;CCCNC(=O)[C@]1(C)CO[C@@H](c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCc4ccco4)n3)[nH]2)OC1;257.0
CHEMBL71425;Rattus norvegicus;C[C@]1(C(=O)NC2CC2)CO[C@H](c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCC4CC4)n3)[nH]2)OC1;288.0
CHEMBL710;Rattus norvegicus;CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C;23.79
CHEMBL70705;Rattus norvegicus;CC(C)NC(=O)[C@]1(C)CO[C@@H](c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCC4CC4)n3)[nH]2)OC1;412.0
CHEMBL70053;Rattus norvegicus;CN1CCN(C(=O)[C@]2(C)CO[C@@H](c3nc(-c4ccc(F)cc4)c(-c4ccnc(NCC5CC5)n4)[nH]3)OC2)CC1;541.0
CHEMBL700;Rattus norvegicus;Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1;15437.0
CHEMBL69723;Rattus norvegicus;Nc1nc(/C(=N/O)C(=O)NC2C(=O)N3C(C(=O)O)=C(/C=C\c4csnn4)CSC23)cs1;4700.0
