chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL454164;Rattus norvegicus;COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2cccc(C)c2)C1=O)C(C)(C)C)C(C)(C)C;20.0
CHEMBL454041;Rattus norvegicus;CCOCCCC[C@@](O)(c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1.O=C(O)/C=C/C(=O)O;745.0
CHEMBL454014;Rattus norvegicus;CC(C)(C)CCC1(NCc2ccc3ccccc3c2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)c2ccccc21;1020.0
CHEMBL453720;Rattus norvegicus;CC1(C(=O)N[C@H]2CCCCNC2=O)CCCCC1;48.33
CHEMBL45349;Rattus norvegicus;O=c1oc(-c2ccc(C(F)(F)F)cc2)nn1Cc1cc(Cl)ccc1O;13700.0
CHEMBL453148;Mus musculus;CCS(=O)(=O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1;579000.0
CHEMBL453105;Rattus norvegicus;Cl.NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O;360.0
CHEMBL453060;Mus musculus;NC(=O)c1cccc2[nH]c(C3CCN(CCc4ccccc4)C3)nc12;1300.0
CHEMBL453057;Mus musculus;Cc1cccc(NC(=O)Nc2ccc(-c3cnc4c(-c5cnn(C)c5)ccn4c3N)cc2)c1;10600.0
CHEMBL453047;Rattus norvegicus;CC(C)Oc1cc(-c2ccc(CCN[C@@H](C)[C@H](O)c3ccccc3)cc2)ccc1C(=O)O;879.7
CHEMBL452800;Rattus norvegicus;CCCN1CCC(c2nc3cccc(C(N)=O)c3[nH]2)CC1;700.0
CHEMBL452587;Rattus norvegicus;C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@H](c3cccnc3)CC2)cc1)C(F)(F)F;481000.0
CHEMBL452539;Mus musculus;CC(C)N1CCCC(c2nc3c(C(N)=O)cccc3[nH]2)C1;1200.0
CHEMBL452461;Rattus norvegicus;O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2;342.0
CHEMBL4524066;Mus musculus;CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O;80300.0
CHEMBL452169;Rattus norvegicus;COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2csc(-c3cccnc3)n2)C1=O)C(C)(C)C)C(C)(C)C;260.0
CHEMBL451276;Rattus norvegicus;COc1ccccc1CNC1(CCC(C)(C)C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)c2ccccc21;1600.0
CHEMBL451096;Rattus norvegicus;Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O)OCOP(=O)([O-])[O-].[Na+].[Na+];19650.0
CHEMBL450918;Rattus norvegicus;COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCCN4CCCCC4)c(F)c3)nc21;148.0
CHEMBL450809;Rattus norvegicus;Cc1cccc(-n2nc(C(C)(C)C)cc2/C(=N/O)C(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)c1;26000.0
CHEMBL450664;Rattus norvegicus;COC(=O)N[C@H](C(=O)N[C@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2csc(C)n2)C1=O)C(C)(C)C)C(C)(C)C;1980.0
CHEMBL450658;Rattus norvegicus;COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2ccccc2N)C1=O)C(C)(C)C)C(C)(C)C;1250.0
CHEMBL450606;Rattus norvegicus;CCOCCCO[C@@H](c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1.O=C(O)/C=C/C(=O)O;882.0
CHEMBL450471;Rattus norvegicus;O=C(O)CCCN[C@@H](Cn1c(=O)c(-c2ccccc2Cl)cn(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1;131.8
CHEMBL45040;Rattus norvegicus;CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O;289000.0
CHEMBL450268;Rattus norvegicus;CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](OCOP(=O)([O-])[O-])[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1.[Na+].[Na+];460.0
CHEMBL450044;Mus musculus;CCOC(=O)OC[C@H]1O[C@@H](Oc2ccccc2Cc2ccc(OC)cc2)[C@H](O)[C@@H](O)[C@@H]1O;2970.0
CHEMBL449621;Rattus norvegicus;CCCCC1C(=O)N(C[C@H]2CC[C@H](OCC)CC2)CCC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2;910.0
CHEMBL449588;Mus musculus;Cc1ccccc1C#Cc1ccc(CCC(=O)O)cc1;783.33
CHEMBL449579;Mus musculus;C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(O)[C@@H]12;5489.4
CHEMBL449383;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(F)c2)C1.O=C(O)/C=C/C(=O)O;510.0
CHEMBL449110;Mus musculus;COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1;203.0
CHEMBL449032;Rattus norvegicus;CCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)c1ccc(C(=O)C(C)(C)C)cc1;645000.0
CHEMBL44898;Rattus norvegicus;O=C(O)CNS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1;316000.0
CHEMBL448743;Rattus norvegicus;O=C1CCc2cc(-c3cccnc3)ccc21;3178.0
CHEMBL447675;Rattus norvegicus;COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2csc(-c3cccnc3)n2)C1=O)C(C)(C)C)C(C)(C)C;120.0
CHEMBL447639;Mus musculus;COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1;216.0
CHEMBL446893;Rattus norvegicus;CCO[C@@H](Cc1ccc(OC/C=C/C#Cc2ccccc2)cc1)C(=O)O;62205.88
CHEMBL446806;Rattus norvegicus;CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1.Cl.Cl;6.3
CHEMBL446326;Rattus norvegicus;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)CF)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C;914.0
CHEMBL446083;Rattus norvegicus;CN1C(=O)CCc2cc(-c3cccnc3)ccc21;659.0
CHEMBL446066;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2)C1.O=C(O)/C=C/C(=O)O;547.0
CHEMBL446032;Rattus norvegicus;Cc1ccc(CNC2(CCC(C)(C)C)C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)c3ccccc32)cn1;0.0
CHEMBL445990;Mus musculus;Oc1noc2cc(Cl)ccc12;340.0
CHEMBL445875;Rattus norvegicus;O=C(c1ccc2oc(-c3cccc(Cn4cc(C(F)(F)F)ccc4=O)n3)cc2c1)N1CCC(N2C(=O)OCc3ccccc32)CC1;1500.0
CHEMBL445809;Rattus norvegicus;O=C(c1ccc(-c2ccccc2)cc1)N1CCC(c2nc3ccccc3[nH]2)CC1;25000.0
CHEMBL445481;Rattus norvegicus;CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1OC1CCCCC1.Cl.Cl;72.2
CHEMBL444945;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(Cl)c2)C1.O=C(O)/C=C/C(=O)O;530.0
CHEMBL444633;Mus musculus;CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O;90820.0
CHEMBL44455;Rattus norvegicus;CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1)C(=O)O;586000.0
CHEMBL444433;Rattus norvegicus;O=C(CO)Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1;935.0
CHEMBL44426;Mus musculus;Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12;7000.0
CHEMBL444105;Rattus norvegicus;CC(C)Cn1c2ccc(C(=O)c3cccs3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3;4134.0
CHEMBL443842;Rattus norvegicus;CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1ccccc1C(C)C;3200.0
CHEMBL44383;Rattus norvegicus;COc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)cc1;2980.0
CHEMBL443065;Rattus norvegicus;CN(Cc1nc(CC2([C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)no1)C(C)(C)CO;81.0
CHEMBL443022;Mus musculus;O=C(CC1CCN(C(=O)Cn2cncn2)CC1)N1CCC([C@H]2c3ncc(Br)cc3CCc3cc(Cl)cc(Br)c32)CC1;10130.0
CHEMBL442767;Rattus norvegicus;Cc1cc(=O)c(Oc2ccc(Cl)cc2F)c(-c2ccc(S(C)(=O)=O)cc2)o1;23400.0
CHEMBL44223;Rattus norvegicus;CC1(C)OC(c2ccc(S(C)(=O)=O)cc2)=C(c2cc(F)cc(F)c2)C1=O;359000.0
CHEMBL441925;Rattus norvegicus;CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(NC(=O)OCc3cc(C)c(OC(=O)CNC(=O)CC(NC(=O)COCCO)C(=O)NCC(=O)Oc4c(C)cc(COC(=O)NC5(C)CC(OC6C(Oc7c8cc9cc7Oc7ccc(cc7Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]9C(=O)N[C@H]7C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c9cc(O)cc(O)c9-c9cc7ccc9O)[C@H](O)c7ccc(c(Cl)c7)O8)OC(CO)C(O)C6O)OC(C)C5O)cc4C)c(C)c3)C(O)C(C)O2)Oc2ccc(cc2Cl)[C@H]1O;513000.0
CHEMBL441661;Mus musculus;Cc1c(CSc2nc3ccccc3[nH]2)cccc1SCCOC(=O)Nc1ccc(N(C)C)cc1;299.0
CHEMBL441112;Rattus norvegicus;Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O;193.33
CHEMBL441;Rattus norvegicus;CCCC(C)C1(CC)C(=O)NC(=S)NC1=O;209.0
CHEMBL44062;Rattus norvegicus;CC(C)C[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O;1211000.0
CHEMBL440237;Rattus norvegicus;C/C(=C(\CCO)SS/C(CCO)=C(/C)N(C=O)Cc1ccc(C)nc1N)N(C=O)Cc1ccc(C)nc1N;1590.0
CHEMBL44;Rattus norvegicus;O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;94.91
CHEMBL439970;Rattus norvegicus;N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(N)(=O)=O)C(c2ccccc2)c2ccccc2)o1;2266.67
CHEMBL439727;Mus musculus;Cn1c2cccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21;14000.0
CHEMBL439560;Mus musculus;CC(C)C[C@H](N)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)N2CCCC2=O)CC1;2678.0
CHEMBL438699;Rattus norvegicus;CC[C@@H]1CCC[C@H](C2(CC(=O)N3CC4CCC(C3)N4C)CC2)N1S(=O)(=O)c1ccc(Cl)cc1;2651.0
CHEMBL438609;Rattus norvegicus;CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(N)=O)c1ccc(F)cc1F;560.0
CHEMBL438605;Rattus norvegicus;C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O;30000.0
CHEMBL437331;Rattus norvegicus;CC(CO)/N=C(\N)c1c(O)nsc1Nc1ccc(Oc2ccccc2)cc1;1135.0
CHEMBL43708;Rattus norvegicus;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12.O;5500.0
CHEMBL436784;Rattus norvegicus;O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1;3150.0
CHEMBL436774;Rattus norvegicus;CC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1;720.0
CHEMBL436137;Mus musculus;Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1;19070.0
CHEMBL435385;Mus musculus;CCOc1ccc([C@H]2[C@H](C(=O)O)[C@@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(CC)cccc2CC)cc1;3400.0
CHEMBL43479;Rattus norvegicus;CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)NO;230.0
CHEMBL434276;Rattus norvegicus;Cc1c(CSc2ccccc2)oc2cccc(OCCCNCc3cccnc3)c12;390.0
CHEMBL434201;Rattus norvegicus;CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)C(C)C)C(C)(C)C;895.0
CHEMBL434063;Rattus norvegicus;CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1;16525.0
CHEMBL433886;Rattus norvegicus;Cc1c(COc2ccc(Cl)cc2)oc2cccc(OCCCNCc3cccnc3)c12;330.0
CHEMBL433262;Rattus norvegicus;CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)NO;5730.0
CHEMBL432974;Rattus norvegicus;CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1CC(C)(C)CCC;7060.0
CHEMBL432911;Mus musculus;O=C(Cc1cc[n+]([O-])cc1)N1CCN([C@@H]2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1;31900.0
CHEMBL432882;Rattus norvegicus;CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;3170.0
CHEMBL432798;Rattus norvegicus;CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C;4928.0
CHEMBL43276;Rattus norvegicus;O=C(O)[C@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1;310000.0
CHEMBL432521;Rattus norvegicus;CC(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1C;1309600.0
CHEMBL432307;Rattus norvegicus;C[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O;584000.0
CHEMBL432211;Rattus norvegicus;O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc2ccccc2c1;600.0
CHEMBL432170;Rattus norvegicus;CCC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C;3270.0
CHEMBL432038;Rattus norvegicus;N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O;284.0
CHEMBL431670;Rattus norvegicus;COc1cc(NC(=O)N[C@@H](CN2C3CCC2CC(Cc2ccc(Cl)cc2)C3)[C@H](C)O)cc(OC)c1OC;190000.0
CHEMBL43152;Rattus norvegicus;CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O;1401000.0
CHEMBL43147;Rattus norvegicus;CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O;12100.0
CHEMBL43113;Rattus norvegicus;Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)cc1;2250.0
CHEMBL430830;Mus musculus;N#CCC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1;350.0
CHEMBL430707;Rattus norvegicus;O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1;320.0
CHEMBL43063;Rattus norvegicus;O=C(CCc1ccccc1)NCCCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O;0.0
CHEMBL430405;Rattus norvegicus;O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1;15200.0
CHEMBL430324;Rattus norvegicus;C[C@H]1CN(C(=O)N2Cc3c(C(=O)OC(C)(C)C)ncn3-c3ccc(Cl)cc32)C[C@H](C)N1;5010.0
CHEMBL430;Rattus norvegicus;CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN;8500.0
CHEMBL4299745;Rattus norvegicus;CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)c2n[nH]c3cc(F)ccc3c2=O)[C@@H](O)[C@H]1O;966.67
CHEMBL4299203;Rattus norvegicus;CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)C[C@H]1F;3300.0
CHEMBL4299202;Rattus norvegicus;CCN(CC)CC.Nc1nc(-c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1F;2333.33
CHEMBL4299201;Rattus norvegicus;CCN(CC)CC.O=C(NS(=O)(=O)NC[C@H]1O[C@@H](n2cnc3c(NC4CC4)nc(-c4ccccc4)nc32)[C@H](O)[C@@H]1O)c1ccccc1O;3066.67
CHEMBL4299200;Rattus norvegicus;CCN(CC)CC.O=C(NS(=O)(=O)NC[C@H]1O[C@@H](n2cnc3c(NC4CC4)ncnc32)[C@H](O)[C@@H]1O)c1ccccc1O;3483.33
CHEMBL4299197;Rattus norvegicus;CCN(CC)CC.Nc1ccc(C(=O)NS(=O)(=O)NC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)c(O)c1;1050.0
CHEMBL4299196;Rattus norvegicus;CC(=O)Oc1ccccc1C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O.CCN(CC)CC;48.33
CHEMBL4299193;Rattus norvegicus;CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1F;17383.33
CHEMBL429910;Rattus norvegicus;CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1;11658.0
CHEMBL429836;Rattus norvegicus;CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCC[C@H]3CO)CC2)N1S(=O)(=O)c1ccc(Cl)cc1;58.0
CHEMBL429743;Rattus norvegicus;COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC;5250.0
CHEMBL429736;Rattus norvegicus;CC[C@H](C)[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N1CCOCC1)c1coc(C)n1;1800.0
CHEMBL4296682;Rattus norvegicus;CCN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@@H]3C(C)(C)C(=O)Nc2nncs2)cc1F;28122.0
CHEMBL429585;Rattus norvegicus;COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3F)c2cc1OC;6010.0
CHEMBL4295060;Mus musculus;CCOc1ccc(-c2cn(C)nc2-c2cc(OC)c(OC)c(OC)c2)cc1;1139.0
CHEMBL4294940;Rattus norvegicus;CC1=Nc2ccc(-c3nc(Nc4ccc(N5CCN(C)CC5)cn4)ncc3F)cc2C12CCCC2;382.0
CHEMBL4294591;Mus musculus;Cc1ccc2c(c1)C(=O)C(=O)N2CCCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;4988.0
CHEMBL429458;Rattus norvegicus;O=C(c1ccc(F)cc1)N1CCN(c2ccc(OCCCN3CCCC3)cc2)C(=O)C1.O=CO;355.0
CHEMBL429448;Rattus norvegicus;CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1;296.0
CHEMBL4294359;Mus musculus;C[C@H](CC(=O)N1CCC(O)(Cn2cnc(NCCN3CCCC3)cc2=O)CC1)c1ccccc1;1700.0
CHEMBL4294285;Rattus norvegicus;Cc1cc(O)c([C@@H]2O[C@H](CO)[C@@H](F)[C@H](O)[C@H]2O)cc1Cc1cc2c(s1)CCN(C#N)C2;44.6
CHEMBL4294266;Mus musculus;Cc1c(CN2CCOCC2)cc(-c2ccc(C(C)C)cc2)n1C(C)C;4024.0
CHEMBL4294221;Rattus norvegicus;NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3=CCCOC3)cc12;985000.0
CHEMBL4293999;Rattus norvegicus;O=C(CCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2;3141.3
CHEMBL4293932;Rattus norvegicus;Cl.N#C/C(=C\c1cccc2cnccc12)c1c[nH]c2ccccc12;821.82
CHEMBL4293834;Mus musculus;COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccccc4)cc3)c2)cc(OC)c1OC.Cl;237226000.0
CHEMBL42938;Rattus norvegicus;CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O;256000.0
CHEMBL4293470;Rattus norvegicus;C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(-c4cc(-c5ccccc5)[nH]n4)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4;2909.33
CHEMBL4293287;Rattus norvegicus;COc1cc2nccc(Nc3n[nH]c(C)c3C)c2cc1S(=O)(=O)C(C)(C)C;2400.0
CHEMBL429296;Rattus norvegicus;Cc1cc2[nH]c(=O)c(=O)[nH]c2c(N(CCO)S(C)(=O)=O)c1Cl;791.0
CHEMBL4292910;Mus musculus;O=C(c1ccc(-c2ccc3[nH]ccc3c2)s1)c1cc(F)c(F)c(O)c1F;1293.0
CHEMBL4292691;Rattus norvegicus;Cl.Cn1c(-c2cc3c(s2)CNCC3)nc2c(C(N)=O)cc(F)cc21;245.0
CHEMBL429247;Rattus norvegicus;COc1cccc(CNC(=O)c2cc3c(=O)n(Cc4ccc(C(=O)O)cc4)cnc3cn2)c1;1810.0
CHEMBL4292139;Rattus norvegicus;CCC1(CC)C(C)=Nc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C)CC5)cn4)ncc3F)cc21;204.0
CHEMBL4291940;Rattus norvegicus;Nc1ccccc1NC(=O)c1ccc(C(=O)NCCNc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)cc1;33534.0
CHEMBL4291795;Rattus norvegicus;OC[C@H]1O[C@@H](c2cc(Cc3ccc4c(c3)OCCO4)c3c(c2O)CCO3)[C@H](O)[C@@H](O)[C@@H]1F;307.0
CHEMBL4291770;Mus musculus;Cc1c(CN2CCOCC2)cc(-c2ccc(C(C)C)cc2)n1C1CCCOC1;138.0
CHEMBL4291768;Rattus norvegicus;CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCSc2nc3ncccc3o2)CC1;2825.0
CHEMBL4291152;Rattus norvegicus;CN(c1ncnc2[nH]ccc12)[C@H]1CN(C(=O)CC#N)CC12CC2.O=C(O)C(O)C(O)C(=O)O;1400.0
CHEMBL429115;Rattus norvegicus;Cc1cc(CN2C[C@H](N)[C@H](C(=O)C3CCC[C@H]3C#N)C2)ccc1C#N;3130.0
CHEMBL4291021;Mus musculus;CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12;39329.0
CHEMBL4290851;Rattus norvegicus;CCN(CC)CCNC(=O)c1cc(C(CC)(CC)c2ccc(OCS(=O)(=O)c3ccccc3)c(C)c2)cn1CC;12040.0
CHEMBL4290485;Mus musculus;Clc1cc(-c2nnn[nH]2)ccc1-c1ccc(-n2ccnc2)cc1;69851.0
