chembl_id;organism;canonical_smiles;PPB /%
CHEMBL4076905;Rattus norvegicus;Nc1ncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)cn1;99.5
CHEMBL4076748;Mus musculus;CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1;92.0
CHEMBL4076493;Mus musculus;Cc1cc(C#N)ccc1-c1cccc2ncnn12;79.0
CHEMBL4076097;Rattus norvegicus;NS(=O)(=O)Nc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1;99.5
CHEMBL4075267;Rattus norvegicus;Cn1nc(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1;92.4
CHEMBL407451;Rattus norvegicus;CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1;94.8
CHEMBL4074304;Rattus norvegicus;C[C@@H]1c2nnn(-c3cnccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl;94.7
CHEMBL4074150;Rattus norvegicus;CCCn1c(Oc2ccc(F)c(F)c2)nc2nc(C3CCCC3)[nH]c2c1=O;99.0
CHEMBL4073446;Mus musculus;Cc1cc(C#N)ccc1-c1cc(N)cc2ncnn12;69.8
CHEMBL4073443;Mus musculus;Cc1cc(Nc2cc(N)ncn2)c(=O)n2c1C(=O)NC21CCCCC1;50.0
CHEMBL4072922;Rattus norvegicus;CCOc1cc2oc(=O)n(CCC(=O)O)c2cc1Cl;81.6
CHEMBL4072722;Mus musculus;COc1ccccc1CNC[C@H]1C[C@@H]1c1cc(F)ccc1OC.Cl;92.0
CHEMBL4072149;Rattus norvegicus;CC1(C)Cc2c(sc(NC(=O)Nc3ccc(Cl)cc3)c2C(N)=O)C(C)(C)N1.Cl;95.8
CHEMBL4072025;Rattus norvegicus;NC(=O)c1ccc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)cn1;99.0
CHEMBL4071600;Rattus norvegicus;C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCCCN3CCC(C(=O)O)CC3)cc2)C1)c1cccc2ccccc12;93.0
CHEMBL4071250;Rattus norvegicus;NC(=O)Nc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1;99.5
CHEMBL4071005;Rattus norvegicus;COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)ccc1Cl;94.0
CHEMBL4070789;Mus musculus;CCCC[S@@+]([O-])c1sc2nc(-c3nccs3)cc(-c3cnc(C)n3C)c2c1N;78.0
CHEMBL407063;Rattus norvegicus;Cc1ccc(NC(=O)c2cc(F)cc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1;97.7
CHEMBL4070393;Mus musculus;CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OCCOC)c2cn1;95.5
CHEMBL4070212;Rattus norvegicus;C[C@@H](Oc1cc2oc(=O)n(CCC(=O)O)c2cc1Cl)c1ccccn1;78.5
CHEMBL4069991;Mus musculus;Nc1ncnc2c1c(Oc1cccc(Cl)c1)nn2CC1CCNCC1(F)F;88.3
CHEMBL4069725;Rattus norvegicus;C[C@@H](N)[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO;92.8
CHEMBL4068611;Rattus norvegicus;Cn1cc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)cn1;99.7
CHEMBL4068539;Rattus norvegicus;CC(=O)Nc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1;99.5
CHEMBL4068469;Rattus norvegicus;CCCn1c(OC2CCC(O)C2)nc2nc(C3CCCC3)[nH]c2c1=O;80.0
CHEMBL4068397;Mus musculus;C[C@@H]1c2nnn(-c3ncccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl;92.6
CHEMBL4068272;Mus musculus;[3H]C(C1=C(C)c2ccc(OCc3ccc(CCC)cc3OC)cc2CC1)N1CC(C(=O)O)C1;96.2
CHEMBL4067875;Rattus norvegicus;O/N=c1\cc(-c2cc3cccn3cn2)oc2ccc(OCCN3CCOCC3)cc12;99.24
CHEMBL4067350;Rattus norvegicus;O=C(NCC(F)(F)F)c1ccc(-c2cccc3nc(-c4cncnc4)nc(NCc4ccccn4)c23)cc1;99.5
CHEMBL4067185;Rattus norvegicus;C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;49.0
CHEMBL4066955;Rattus norvegicus;CS(=O)(=O)Nc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1;99.5
CHEMBL406657;Rattus norvegicus;CN(C(=O)CS(C)(=O)=O)C1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O;70.0
CHEMBL4065762;Rattus norvegicus;CCCn1c(-c2cccc(OC)c2)nc2nc(C3CCCC3)[nH]c2c1=O;95.0
CHEMBL4065035;Mus musculus;COCC[S+]([O-])c1sc2nc(-c3nccs3)cc(-c3cnc(C)n3C)c2c1N;56.0
CHEMBL4064731;Mus musculus;CCCNC(=O)N1[C@H](C#N)[C@H](c2ccc(-c3ccc(C(F)(F)F)c(C(F)(F)F)c3)cc2)[C@H]1CO;99.3
