chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL1631570;Mus musculus;Cc1cn([C@H]2CN(P(=O)(OC[C@@H]3CN(P(=O)(OC[C@@H]4CN(P(=O)(OC[C@@H]5CN(P(=O)(OC[C@@H]6CN(P(=O)(OC[C@@H]7CN(P(=O)(OC[C@@H]8CN(P(=O)(OC[C@@H]9CN(P(=O)(OC[C@@H]%10CNC[C@H](n%11cnc%12c(=O)[nH]c(N)nc%12%11)O%10)N(C)C)C[C@H](n%10cc(C)c(=O)[nH]c%10=O)O9)N(C)C)C[C@H](n9cnc%10c(=O)[nH]c(N)nc%109)O8)N(C)C)C[C@H](n8cnc9c(N)ncnc98)O7)N(C)C)C[C@H](n7cc(C)c(=O)[nH]c7=O)O6)N(C)C)C[C@H](n6cnc7c(N)ncnc76)O5)N(C)C)C[C@H](n5cnc6c(=O)[nH]c(N)nc65)O4)N(C)C)C[C@H](n4ccc(N)nc4=O)O3)N(C)C)C[C@@H](COP(=O)(N(C)C)N3C[C@@H](COP(=O)(N(C)C)N4C[C@@H](COP(=O)(N(C)C)N5CCN(C(=O)CCNC(=O)CCCCCNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@@H](N)CCCNC(=N)N)CC5)O[C@@H](n5ccc(N)nc5=O)C4)O[C@@H](n4cc(C)c(=O)[nH]c4=O)C3)O2)c(=O)[nH]c1=O;300.0
CHEMBL1631367;Rattus norvegicus;CCOC(=O)c1ccc(N/N=C(\C(=O)c2ccc(Cl)cc2)c2nc(C)cc(=O)[nH]2)cc1;2.341
CHEMBL1631288;Rattus norvegicus;CC(=O)c1ccc(N/N=C(\C(=O)c2ccc(Cl)cc2)c2nc(C)cc(=O)[nH]2)cc1;1.87
CHEMBL1631287;Rattus norvegicus;Cc1cc(=O)[nH]c(/C(=N/Nc2ccc([N+](=O)[O-])cc2)C(=O)c2ccc(Cl)cc2)n1;2.345
CHEMBL1631286;Rattus norvegicus;Cc1cc(=O)[nH]c(/C(=N/Nc2cccc([N+](=O)[O-])c2)C(=O)c2ccc(Cl)cc2)n1;2.553
CHEMBL1631285;Rattus norvegicus;Cc1cc(=O)[nH]c(/C(=N/Nc2cccc(Cl)c2)C(=O)c2ccc(Cl)cc2)n1;2.133
CHEMBL1631284;Rattus norvegicus;Cc1cc(=O)[nH]c(/C(=N/Nc2ccc(Cl)cc2)C(=O)c2ccc(Cl)cc2)n1;2.345
CHEMBL1631283;Rattus norvegicus;Cc1cc(=O)[nH]c(/C(=N/Nc2ccccc2)C(=O)c2ccc(Cl)cc2)n1;2.111
CHEMBL1631282;Rattus norvegicus;Cc1cccc(N/N=C(\C(=O)c2ccc(Cl)cc2)c2nc(C)cc(=O)[nH]2)c1;2.555
CHEMBL1631281;Rattus norvegicus;Cc1ccc(N/N=C(\C(=O)c2ccc(Cl)cc2)c2nc(C)cc(=O)[nH]2)cc1;2.663
