organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Rattus norvegicus,CHEMBL525076,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,2.8,42.0,26900.0,0.88,4.5,12.0,435.7
Rattus norvegicus,CHEMBL525010,CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cccc(C)n1,0.5,35.0,2290.0,0.582,1.7,38.0,1000.0
Rattus norvegicus,CHEMBL524530,Cc1ccn2nc(-c3ccc(F)cc3)c(-c3ccncc3)c2c1,1.2,25.0,200.0,0.99,2.0,83.0,1200.0
Mus musculus,CHEMBL524443,CNCC(=O)N[C@H](c1cccc(F)c1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2Cl)CC1)C(C)C,3.8,23.0,1014.0,0.172,2.0,39.0,323.0
Rattus norvegicus,CHEMBL523413,Cc1cc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)sn1,2.58,59.0,5100.0,0.21,0.35,4.0,400.0
Mus musculus,CHEMBL523035,CCOC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,0.5,42.0,10834.0,7.791,1.6,19.0,500.0
Mus musculus,CHEMBL523034,COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,0.5,27.0,7476.0,3.084,1.9,17.2,121.5
Rattus norvegicus,CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,3.5,73.0,5666.67,0.48,13.0,43.0,2100.0
Mus musculus,CHEMBL522771,Cc1ncsc1C(=O)N(Cc1cc(=O)[nH]c2c(F)cccc12)c1cccc(Cl)c1,0.9,7.0,450.0,1.4,1.6,100.0,4100.3
Rattus norvegicus,CHEMBL522579,Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,4.6,91.0,4180.0,2.1,1.2,3.0,800.9
Rattus norvegicus,CHEMBL522328,C[C@H](NCc1ccc2c(c1)[nH]/c(=N\C(=O)c1ccc(-c3cn[nH]c3)s1)n2CC(C)(C)O)C(C)(C)C,2.5,21.0,659.0,0.092,11.6,53.1,765.4
Rattus norvegicus,CHEMBL522322,COc1ccc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,1.85,107.0,1200.0,3.2,0.52,5.2,669.0
Rattus norvegicus,CHEMBL522161,O=C(Nc1nc(C(F)(F)F)co1)C1c2ccccc2Oc2c(F)cccc21,3.7,15.0,1098.8,1.44,0.99,3.3,909.9
Rattus norvegicus,CHEMBL521982,O=C(Nc1nc(C(F)(F)F)co1)C1c2ccccc2Oc2ccccc21,0.9,15.0,999.0,1.33,1.34,63.3,1200.0
Mus musculus,CHEMBL521715,COc1cc(Cl)ccc1C[C@@H](C)C(=O)N1CCN(c2c(F)cccc2[C@@H](NC(=O)C2CNC2)C(C)C)CC1,4.4,5.6,336.0,0.104,2.1,28.0,800.0
Rattus norvegicus,CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.8833,45.4,4989.5,12.29,0.83,30.0,811.2
Rattus norvegicus,CHEMBL521674,CCn1cnc(CN2CCN(c3cccc4[nH]c(-c5ccc(C(C)(C)C)cc5)nc34)CC2)c1C,3.7,93.0,124.0,0.533,2.7,134.0,844.55
Ovis aries,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.7,100.0,56766.65,0.02843,0.9,3.8,1394.0
Rattus norvegicus,CHEMBL518924,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,1.4,66.0,58.0,1.2,0.5,3.7,1000.0
Rattus norvegicus,CHEMBL518890,Fc1ccc(-c2nn3c(OCC(F)(F)F)cccc3c2-c2ccncc2)cc1,2.1,72.0,500.0,0.556,5.4,40.0,500.0
Rattus norvegicus,CHEMBL518831,COc1cccc([C@H]2C[C@@H]2NC(=O)CC(C)(C)NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c1,6.8,194.0,1345.0,0.898,2.5,124.0,40.0
Rattus norvegicus,CHEMBL51879,CC1(C)[C@H](C(=O)N=C(N)N)[C@H]1c1cccc2c1CCO2,3.0,63.0,232.0,0.99,8.6,74.0,777.6
Rattus norvegicus,CHEMBL518348,Cc1cc(CNC(=O)c2cc(-c3ccc(C(C)(C)C)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O,0.83,22.0,1130.0,1.791,0.3,17.0,599.0
Rattus norvegicus,CHEMBL518308,Cc1ccccc1N/C(=N\C#N)N1CCN(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2)C1,0.9,21.0,7489.0,1.2,5.3,68.0,900.0
Mus musculus,CHEMBL518303,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc(-n2cncn2)c1,1.8,34.0,1041.0,0.149,4.2,13.0,1000.0
Rattus norvegicus,CHEMBL518203,COc1cc2nccc(Oc3ccc4c(NC(=O)c5cccc(C)c5)nn(C)c4c3)c2cc1OC,2.7,12.0,153.0,0.5,2.4,20.0,788.0
Rattus norvegicus,CHEMBL517776,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,4.8,42.0,1905.0,0.621,3.1,22.0,1200.0
Rattus norvegicus,CHEMBL517140,CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,3.7,51.0,2596.0,0.435,3.4,19.6,1220.0
Rattus norvegicus,CHEMBL517072,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,2.3,61.0,800.0,0.665,1.2,58.0,1011.3
Rattus norvegicus,CHEMBL516640,COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,1.7,16.0,7.9,0.564,1.453,35.58,990.9
Mus musculus,CHEMBL516533,O=S(=O)(Nc1ccccc1)c1ccc(NC(=S)Nc2ccccc2)cc1,5.65,69.3,5014.05,2.698,2.1,21.3,1000.0
Rattus norvegicus,CHEMBL516479,CC(C)(C)c1ccc(-c2nc3c(N4CCN(Cc5c[nH]c(=O)[nH]c5=O)CC4)cccc3[nH]2)cc1,3.5,5.0,355.0,0.019,3.1,47.0,800.0
Rattus norvegicus,CHEMBL516439,O[C@@H](CN1c2cccc(-c3cccc(OC(F)(F)F)c3)c2CC[C@@H]1c1cccc(OC(F)(F)C(F)F)c1)C(F)(F)F,28.0,31.0,31300.0,0.011,0.36,1.8,455.6
Rattus norvegicus,CHEMBL516033,CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(F)cccc1S(C)(=O)=O,1.6,62.0,700.0,0.221,2.6,9.0,68.0
Rattus norvegicus,CHEMBL515919,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2F)c(C(=O)Nc2ccc(Cl)cn2)c1,5.5,48.6,770.0,0.111,1.44,57.5,655.4
Rattus norvegicus,CHEMBL515387,O=C([C@@H]1C[C@H](N2CCN(c3ncccn3)CC2)CN1)N1CCC(F)(F)C1,2.5,109.0,2398.0,1.406,1.9,38.0,344.5
Rattus norvegicus,CHEMBL515025,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C)CC1,6.7,40.0,233.4,0.55,9.8,18.33,67.0
Rattus norvegicus,CHEMBL514828,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccccc2C(N)=O)c2cc[nH]c2n1,2.1,37.0,1220.0,0.069,19.5,142.0,1200.0
Rattus norvegicus,CHEMBL514800,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,5.0,64.0,11000.0,6.6,2.0,8.333,107.6
Rattus norvegicus,CHEMBL514670,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(N)c(Cl)c1,1.6,78.0,2090.0,1.22,1.0,8.0,400.0
Rattus norvegicus,CHEMBL514611,CN(Cc1ccc(Cl)cc1)C(=O)[C@H]1CCCN1C(=O)Nc1ccc(C(F)(F)F)cc1,4.4,45.0,9390.0,0.834,2.1,4.2,889.6
Rattus norvegicus,CHEMBL514510,Cc1ccccc1[C@@]1(O)C[C@H](C(=O)Nc2ccc(-n3ccccc3=O)cn2)N(C(=O)Nc2ccc(Cl)cc2)C1,1.3,14.0,489.0,0.655,0.468,5.12,566.0
