organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Mus musculus,CHEMBL598608,O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1,2.7,77.0,3343.0,0.881,1.7,39.0,15
Rattus norvegicus,CHEMBL598172,COc1ccc(NC(=O)Nc2ccc(F)cc2F)cc1-c1c(Br)cnn1C,3.0,85.4,298.0,0.044,5.3,23.0,65
Mus musculus,CHEMBL597997,Cc1sc(C)c(C(=O)NC2(c3ccc(C(=O)O)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1,4.5,21.0,867,0.5,0.9,23.0,80.0
Rattus norvegicus,CHEMBL59765,CCOC(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1cccc(Cl)c1)CCC2,0.3,29.0,83.0,0.038,0.87,35.4,77
Rattus norvegicus,CHEMBL597375,Cc1cc(C)cc(C(CC(C)C)NC(=O)c2cc(COc3cc(F)ccc3F)ccc2CCC(=O)O)c1,2.1,19.0,470.0,0.52,1.43,44.5,98
Rattus norvegicus,CHEMBL597146,Cc1cc(C)cc(C(CC(C)C)NC(=O)c2cc(COc3cccc(F)c3)ccc2CCC(=O)O)c1,1.9,23.0,1090.0,0.39,1.32,45.2,254.0
Rattus norvegicus,CHEMBL596903,CC(C)CC(NC(=O)c1cc(COc2ccccc2)ccc1CCC(=O)O)c1cccc2ccccc12,2.1,3.9,343,0.28,0.8,16.0,35
Rattus norvegicus,CHEMBL596401,CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCOCC2)c1,0.7,22.0,4805.0,1.221,2.5,70.0,422.0
Rattus norvegicus,CHEMBL595910,O=C(NO)c1cnc(N2CCN(C(/C=C/c3ccccc3)CO)CC2)nc1,2.6,19.0,776.3,0.55,5.8,98.33,562.0
Rattus norvegicus,CHEMBL595707,CC(c1ccc(N2CC[C@H](NS(=O)(=O)c3cc4ccc(Cl)cc4s3)C2=O)c(F)c1)N(C)C,3.1,10.0,453.0,0.44,0.52,2.1,122.0
Rattus norvegicus,CHEMBL594671,CC(C)[C@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1,3.667,15.0,10000.0,23.1,7.0,54.0,86.4
Rattus norvegicus,CHEMBL594544,O=C(NO)c1cnc(N2CCN(C(/C=C/c3ccc(F)cc3)CO)CC2)nc1,0.8,22.0,521.0,1.22,1.6,76.67,77.99
