chembl_id;organism;canonical_smiles;F /%
CHEMBL182;Rattus norvegicus;Nc1nc(O)c2ncn(COC(CO)CO)c2n1;3.6
CHEMBL1819611;Rattus norvegicus;Cc1ccc(CC(=O)O)cc1NC(=O)c1ccc(OC[C@@H]2CN(C)c3ccccc3O2)cc1C;62.0
CHEMBL1819603;Rattus norvegicus;CN1C[C@@H](COc2ccc(C(=O)Nc3cccc(CC(=O)O)c3)cc2)Oc2ccccc21;119.0
CHEMBL1819270;Rattus norvegicus;Cc1nn2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1;2.0
CHEMBL1819267;Mus musculus;CC(C)(C)c1[nH]c2ncccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1;4.0
CHEMBL1819261;Mus musculus;CC(C)N(CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1;4.0
CHEMBL1819090;Rattus norvegicus;Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2C#N)n(C)c1=O;52.0
CHEMBL1819077;Rattus norvegicus;CCC(CC)Nc1c2c(nc3c(-c4ccc(OC)cc4Cl)c(C)nn13)CCC2;22.0
CHEMBL1818901;Rattus norvegicus;O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccc(F)cc2)cc1;34.1
CHEMBL1818837;Rattus norvegicus;COc1cc(-c2cn(Cc3ccc(-c4nc5ccccc5o4)cc3)nn2)ccc1-n1cnc(C)c1;49.0
CHEMBL1818829;Rattus norvegicus;COc1cc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)ccc1-n1cnc(C)c1;41.0
CHEMBL1818543;Rattus norvegicus;Cc1nc(C)n(CC23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)n1;17.0
CHEMBL1818455;Rattus norvegicus;Cc1cc(C)n(CC23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)n1;6.0
CHEMBL1818303;Mus musculus;CN(C)CCC1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OCC(C)(C)C)CC3)c3ccccc3n2)CC1;115.0
CHEMBL1818300;Mus musculus;CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(N3CCC(CCN4CC(O)C4)CC3)nc3ccccc23)CC1;135.0
CHEMBL1818296;Mus musculus;CN(C)CCC1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)c3ccccc3n2)CC1;131.0
CHEMBL1818076;Rattus norvegicus;CCc1cccc(-c2c(Cl)cccc2[C@](O)(CCCCOC)[C@H]2CN(C(=O)[C@@H]3C[C@H](O)[C@H](N)C3)CCO2)c1.O=C(O)/C=C/C(=O)O;19.0
CHEMBL1818075;Rattus norvegicus;COCCCC[C@@](O)(c1cccc(Cl)c1-c1cccc(C)c1)[C@H]1CN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)CCO1.O=C(O)/C=C/C(=O)O;13.0
CHEMBL1818074;Rattus norvegicus;COCCCC[C@@](O)(c1cccc(F)c1-c1cccc(C)c1)[C@H]1CN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)CCO1.O=C(O)/C=C/C(=O)O;14.0
CHEMBL1818073;Rattus norvegicus;COCCCC[C@@](O)(c1cccc(Cl)c1-c1cccc(C)c1)[C@@H]1CCCN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)C1.O=C(O)/C=C/C(=O)O;8.0
CHEMBL1818072;Rattus norvegicus;COCCCC[C@@](O)(c1ccccc1Oc1ccccc1C)[C@@H]1CCCN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)C1.O=C(O)/C=C/C(=O)O;34.0
CHEMBL1818062;Rattus norvegicus;COC(=O)NCCC[C@@](O)(c1cccc(F)c1-c1cccc(C)c1)[C@@H]1CCCN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)C1;2.0
