chembl_id;organism;canonical_smiles;Cmax /ug.mL-1
CHEMBL4065533;Rattus norvegicus;[2H]C([2H])([2H])Oc1ccc2c3nn(-c4ccc(OC)cc4)c(=O)c-3c[nH]c2c1;3.737
CHEMBL4065412;Rattus norvegicus;Nc1ccccc1NC(=O)c1ccc(Cn2cc(-c3ccc(C(=O)NCc4cccnc4)cc3)nn2)cc1;0.745
CHEMBL4065397;Mus musculus;COc1ccc(C(F)(F)F)cc1COc1ccc(CCC(=O)O)cc1C;6.779
CHEMBL4065339;Rattus norvegicus;C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1.CS(=O)(=O)O;0.0831
CHEMBL4065316;Rattus norvegicus;Cc1ncn(-c2ccc(C(=O)N[C@@H]3CCN(c4ncc(Cl)c5c(N)noc45)C3)c(Cl)c2)n1;0.33
CHEMBL4065300;Rattus norvegicus;Fc1cc(F)cc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)c1;0.327
CHEMBL4065208;Rattus norvegicus;Oc1ccc(Oc2ccnc3cc(-c4cnn(C5CCNCC5)c4)ccc23)cc1;0.0835
CHEMBL4065064;Rattus norvegicus;O=C(c1nccs1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(Cl)c(Cl)c1)C2;0.197
CHEMBL4065034;Rattus norvegicus;CCO[P@]1(=O)N=C(C2=C(O)[C@H](C(C)(C)C)N(CCC(C)(C)C)C2=O)Nc2ccc(NS(C)(=O)=O)cc21;0.569
CHEMBL4064867;Rattus norvegicus;CN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2;4.391
CHEMBL4064723;Rattus norvegicus;COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1cccc(OS(=O)(=O)Oc2cccc(NC(=O)[C@@H]3CCCN3C(=O)[C@H](NC(=O)OC)c3ccccc3)c2)c1)c1ccccc1;1.96
CHEMBL4064672;Mus musculus;COC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(F)cc1Cl;0.413
CHEMBL4064619;Mus musculus;C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1;0.12
CHEMBL4064555;Mus musculus;C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cc(C#N)cc(C#N)c1;0.28
CHEMBL4064534;Mus musculus;Cc1ccc(-n2c(=O)ccc3ccc4ccc(-c5cnn(C)c5)cc4c32)cc1NC(=O)/C=C/CN(C)C;0.4617
CHEMBL4064469;Mus musculus;CC(=O)O[C@H]1[C@H]2[C@H]([C@@H]3[C@@H](O)[C@@H]4[C@H]([C@H](C)[C@H]5O[C@]56OC(=O)[C@@](C)(O)[C@]46C)[C@@]3(C)[C@H]1OC(C)=O)[C@@H](O)C(=O)[C@H]1C[C@@H]3O[C@@H]3[C@H](OC(C)=O)[C@@]12C;19.0
CHEMBL4064397;Mus musculus;Cc1cc(NC2CCN(C(=O)CCNCC(=O)O)CC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1;16.4
CHEMBL4064281;Mus musculus;O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)nc3)nc1)CC2;14.0
CHEMBL4064124;Rattus norvegicus;O=C(N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1nc(-c2ccccc2)cs1)c1ccccc1)c1ccncc1;0.0583
CHEMBL406388;Rattus norvegicus;COc1cc2nccc(Oc3ccc4c(C(=O)Nc5cccnc5)cccc4c3)c2cc1OC;5.71
CHEMBL4063810;Rattus norvegicus;[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O;4.422
CHEMBL4063709;Mus musculus;Cn1cc(-c2ccncc2/C=C/C(=O)Nc2ccc(CN3CCOCC3)cc2)cn1;0.0475
CHEMBL4063674;Mus musculus;O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)c1ccc(OCCN2CCOCC2)cc1;2.64
CHEMBL4063636;Rattus norvegicus;NC(=O)C(=O)C(Cc1ccccc1)NC(=O)c1cccnc1-n1ccc(-c2ccc(F)cc2)n1;1.28
CHEMBL4063587;Mus musculus;CCOc1cc(CN2CC3(CC(N4CCC(C(=O)O)CC4)=NO3)C2)cc(OCC)c1-c1ccc(F)cc1;0.0748
CHEMBL4063500;Rattus norvegicus;CN(C)C(=O)c1cc2cnc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc2n1C1CCCC1;0.1368
CHEMBL4063342;Rattus norvegicus;CN(Cc1cccc(-c2cnc(N3CCN(c4ccc(C(=O)O)cc4Cl)CC3)nc2)c1)C(=O)CN.Cl.Cl;0.113
CHEMBL4063241;Rattus norvegicus;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)NCCSSC(C)(C)CNC(=O)c1cccnc1;0.777
CHEMBL4063082;Rattus norvegicus;O=C(Nc1ccc(Cl)cc1B(O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2)nc1;3.35
CHEMBL4063009;Mus musculus;CN1CCC(c2c[nH]c3cc(Nc4ccc(F)c(F)c4)ccc23)CC1;0.107
CHEMBL4062970;Rattus norvegicus;C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCC[N+](C)(C)C)cc2)C1)c1cccc2ccccc12.[Cl-];0.164
CHEMBL4062877;Rattus norvegicus;Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(F)ccc3O)cc12;6.535
CHEMBL4062737;Rattus norvegicus;CCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1;1570.1
CHEMBL4062698;Rattus norvegicus;Cc1nc(C)c(/C=C/C(=O)N2CCC=C(Cl)C2=O)nc1C;0.0443
